"id","fecha","hora","temperatura","humedad","intensidad_luz","humedad_suelo"
"1","2024-01-28","22:46:29","17.60","65.20","76.67","4.67"
"2","2024-01-28","22:46:33","17.60","65.20","76.67","5.28"
"3","2024-01-28","22:46:37","17.60","65.30","76.67","4.06"
"4","2024-01-28","22:46:41","17.60","65.30","76.67","5.64"
"5","2024-01-28","22:46:45","17.60","65.20","76.67","3.34"
"6","2024-01-28","22:46:50","17.60","65.20","76.67","5.04"
"7","2024-01-28","22:55:52","17.50","65.50","76.67","3.52"
"8","2024-01-28","22:55:56","17.50","65.50","76.67","4.06"
"9","2024-01-28","22:56:01","17.50","65.50","76.67","5.40"
"10","2024-01-28","22:56:05","17.50","65.40","76.67","4.25"
"11","2024-01-28","22:56:10","17.50","65.40","76.67","3.40"
"12","2024-01-28","22:56:14","17.50","65.40","76.67","5.28"
"13","2024-01-28","22:56:18","17.50","65.40","76.67","5.52"
"14","2024-01-28","22:56:23","17.50","65.40","76.67","4.61"
"15","2024-01-28","22:56:27","17.40","65.40","76.67","4.13"
"16","2024-01-28","22:56:31","17.40","65.40","76.67","5.52"
"17","2024-01-28","22:56:35","17.50","65.40","76.67","5.16"
"18","2024-01-28","22:56:39","17.50","65.30","76.67","5.10"
"19","2024-01-28","22:56:44","17.50","65.30","76.67","5.70"
"20","2024-01-28","22:56:48","17.50","65.20","76.67","5.34"
"21","2024-01-28","22:56:52","17.50","65.30","76.67","3.88"
"22","2024-01-28","22:56:57","17.50","65.30","76.67","5.04"
"23","2024-01-28","22:57:01","17.40","65.20","76.67","4.91"
"24","2024-01-28","22:57:05","17.40","65.30","77.50","3.82"
"25","2024-01-28","22:57:10","17.50","65.30","76.67","4.79"
"26","2024-01-28","22:57:14","17.40","65.30","76.67","3.76"
"27","2024-01-28","22:57:18","17.40","65.30","76.67","3.82"
"28","2024-01-28","22:57:22","17.40","65.30","76.67","3.52"
"29","2024-01-28","22:57:27","17.50","65.30","76.67","4.55"
"30","2024-01-28","22:57:31","17.40","65.30","76.67","5.52"
"31","2024-01-28","22:57:35","17.40","65.40","76.67","3.88"
"32","2024-01-28","22:57:39","17.40","65.40","76.67","5.40"
"33","2024-01-28","22:57:44","17.40","65.40","76.67","4.67"
"34","2024-01-28","22:57:48","17.40","65.30","76.67","3.58"
"35","2024-01-28","22:57:52","17.40","65.30","76.67","4.25"
"36","2024-01-28","22:57:57","17.40","65.40","76.67","3.58"
"37","2024-01-28","22:58:01","17.40","65.30","76.67","3.70"
"38","2024-01-28","22:58:05","17.40","65.30","76.67","3.46"
"39","2024-01-28","22:58:10","17.40","65.40","76.67","3.64"
"40","2024-01-28","22:58:17","17.40","65.40","76.67","3.70"
"41","2024-01-28","22:58:21","17.40","65.40","76.67","5.52"
"42","2024-01-28","23:18:39","17.40","65.50","76.67","5.04"
"43","2024-01-28","23:18:43","17.40","65.50","76.67","3.82"
"44","2024-01-28","23:18:47","17.40","65.50","76.67","3.46"
"45","2024-01-28","23:18:51","17.40","65.50","76.67","3.34"
"46","2024-01-28","23:18:55","17.40","65.50","76.67","4.19"
"47","2024-01-28","23:18:59","17.40","65.40","76.67","4.79"
"48","2024-01-28","23:19:04","17.40","65.50","76.67","4.91"
"49","2024-01-28","23:19:08","17.40","65.50","76.67","3.64"
"50","2024-01-28","23:19:12","17.40","65.50","76.67","4.85"
"51","2024-01-28","23:19:16","17.40","65.60","76.67","4.37"
"52","2024-01-28","23:19:21","17.40","65.60","76.67","5.10"
"53","2024-01-28","23:19:25","17.40","65.60","76.67","5.28"
"54","2024-01-28","23:19:29","17.40","65.70","76.67","4.37"
"55","2024-01-28","23:19:33","17.40","65.70","76.67","4.79"
"56","2024-01-28","23:19:37","17.40","65.70","76.67","4.19"
"57","2024-01-28","23:19:42","17.40","65.70","76.67","3.94"
"58","2024-01-28","23:19:46","17.40","65.60","76.67","4.91"
"59","2024-01-28","23:19:50","17.40","65.60","76.67","3.76"
"60","2024-01-28","23:19:54","17.40","65.60","76.67","5.28"
"61","2024-01-28","23:19:58","17.40","65.60","76.67","4.43"
"62","2024-01-28","23:20:03","17.40","65.50","76.67","3.52"
"63","2024-01-28","23:20:10","17.30","65.60","76.67","3.76"
"64","2024-01-28","23:20:14","17.40","65.60","76.67","4.19"
"65","2024-01-28","23:20:18","17.40","65.60","75.83","5.16"
"66","2024-01-28","23:20:22","17.40","65.60","75.83","3.64"
"67","2024-01-28","23:24:31","17.30","65.70","76.67","3.46"
"68","2024-01-28","23:24:36","17.30","65.70","76.67","3.64"
"69","2024-01-28","23:24:40","17.30","65.70","76.67","4.73"
"70","2024-01-28","23:24:44","17.30","65.70","76.67","3.70"
"71","2024-01-28","23:24:48","17.30","65.60","76.67","4.37"
"72","2024-01-28","23:38:19","17.30","65.50","76.67","5.22"
"73","2024-01-28","23:38:24","17.30","65.50","76.67","3.82"
"74","2024-01-28","23:38:28","17.30","65.50","76.67","2.91"
"75","2024-01-28","23:38:33","17.30","65.50","76.67","4.31"
"76","2024-01-28","23:38:37","17.30","65.50","76.67","4.19"
"77","2024-01-28","23:38:41","17.30","65.50","76.67","5.34"
"78","2024-01-28","23:38:46","17.30","65.50","75.83","3.52"
"79","2024-01-28","23:38:50","17.30","65.60","75.83","3.40"
"80","2024-01-28","23:38:54","17.30","65.50","75.83","3.82"
"81","2024-01-28","23:38:59","17.30","65.50","76.67","3.46"
"82","2024-01-28","23:39:03","17.30","65.60","76.67","4.19"
"83","2024-01-28","23:39:07","17.30","65.60","76.67","5.16"
"84","2024-01-28","23:39:12","17.30","65.60","76.67","4.13"
"85","2024-01-28","23:39:16","17.30","65.70","76.67","5.40"
"86","2024-01-28","23:39:20","17.30","65.70","76.67","3.64"
"87","2024-01-28","23:39:24","17.30","65.70","76.67","5.46"
"88","2024-01-28","23:39:29","17.30","65.60","76.67","4.19"
"89","2024-01-28","23:39:33","17.30","65.60","76.67","4.79"
"90","2024-01-28","23:39:40","17.30","65.60","76.67","4.79"
"91","2024-01-28","23:39:44","17.30","65.60","76.67","4.49"
"92","2024-01-28","23:39:49","17.30","65.60","76.67","4.31"
"93","2024-01-28","23:39:53","17.30","65.50","76.67","3.76"
"94","2024-01-28","23:39:57","17.30","65.50","76.67","3.58"
"95","2024-01-28","23:40:01","17.30","65.50","76.67","4.67"
"96","2024-01-28","23:40:05","17.30","65.60","75.83","3.88"
"97","2024-01-28","23:40:10","17.30","65.60","75.83","4.37"
"98","2024-01-28","23:40:14","17.30","65.60","76.67","4.79"
"99","2024-01-28","23:40:18","17.30","65.60","75.83","4.85"
"100","2024-01-28","23:40:23","17.30","65.60","76.67","4.55"
"101","2024-01-28","23:40:27","17.30","65.60","76.67","5.22"
"102","2024-01-28","23:40:31","17.30","65.60","76.67","3.28"
"103","2024-01-28","23:40:36","17.30","65.60","75.83","5.04"
"104","2024-01-28","23:40:40","17.30","65.60","76.67","4.43"
"105","2024-01-28","23:40:44","17.30","65.60","76.67","3.40"
"106","2024-01-28","23:40:48","17.30","65.60","76.67","4.31"
"107","2024-01-28","23:40:53","17.30","65.60","76.67","4.06"
"108","2024-01-28","23:40:57","17.30","65.60","75.83","4.13"
"109","2024-01-28","23:42:08","17.30","65.50","76.67","4.85"
"110","2024-01-28","23:42:13","17.30","65.50","76.67","4.31"
"111","2024-01-28","23:42:18","17.30","65.60","76.67","4.19"
